IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Sector
2022-05-04,AUST,Austin Gold Corp.,4,1.0799,-73.0025,14332217,Materials
2022-05-03,ASCB,A SPAC II Acquisition Corp.,10,10.25,2.5,259324990,Financials
2022-04-29,BLTE,"Belite Bio, Inc",6,29.95,399.16667,744778630,Healthcare
2022-04-29,HLVX,"HilleVax, Inc.",17,15.06,-11.41176,502180218,Healthcare
2022-04-28,CHEA,Chenghe Acquisition Co.,10,10.37,3.7,149068750,Financials
2022-04-28,CLRC,ClimateRock,10,10.2,2,101611176,Financials
2022-04-27,TNON,"Tenon Medical, Inc.",5,2.23,-55.4,25058064,Healthcare
2022-04-27,OST,"Ostin Technology Group Co., Ltd.",4,1.11,-72.25,14985000,Technology
2022-04-26,AIMAU,Aimfinity Investment Corp. I,10,10.07,0.7,106283815,Financials
2022-04-22,JCSE,JE Cleantech Holdings Limited,4,0.7298,-81.755,10961596,Industrials
2022-04-22,ACON,"Aclarion, Inc.",4.35,0.6951,-84.02069,5436739,Healthcare
2022-04-20,YOTA,Yotta Acquisition Corporation,10,10.14,1.4,149245590,Financials
2022-04-14,STSS,"Sharps Technology, Inc.",4.25,1.36,-68,12794091,Healthcare
2022-04-13,EE,"Excelerate Energy, Inc.",24,23.38,-2.58333,2531492810,Utilities
2022-04-13,AFAR,Aura FAT Projects Acquisition Corp,10,10.32,3.2,149536790,Financials
2022-04-12,GNS,Genius Group Limited,6,3.95,-34.16667,97528265,Consumer Staples
2022-04-07,DECA,Denali Capital Acquisition Corp.,10,10.35,3.5,112012875,Financials
2022-04-01,MSSA,Metal Sky Star Acquisition Corporation,10,10.19,1.9,149538250,Financials
2022-04-01,XPON,Expion360 Inc.,7,1.89,-73,12856649,Industrials
2022-03-31,RWOD,Redwoods Acquisition Corp.,10,10.29,2.9,153372450,Financials
2022-03-31,RVSN,Rail Vision Ltd.,4.13,1.28,-69.00726,20346880,Industrials
2022-03-25,ANTX,"AN2 Therapeutics, Inc.",15,12.57,-16.2,243891939,Healthcare
2022-03-25,LCFY,Locafy Limited,4.13,10.1,144.55206,10367044,Communication Services
2022-03-24,RFAC,RF Acquisition Corp.,10,10.17,1.7,148227740,Financials
2022-03-17,GDST,Goldenstone Acquisition Limited,10,10.23,2.3,77709638,Financials
2022-03-15,AKAN,Akanda Corp.,4,0.344,-91.4,11708866,Healthcare
2022-03-11,NUBI,Nubia Brand International Corp.,10,10.32,3.2,161207160,Financials
2022-03-10,PLAO,Patria Latin American Opportunity Acquisition Corp.,10,10.44,4.4,300150000,Financials
2022-03-09,LBBB,Lakeshore Acquisition II Corp.,10,10.3,3,94157450,Financials
